Pos,Name,Apps,G/A,Goals,Assists,Clean Sheets,Rating
GK,Caoimhin Kelleher,5,0,0,0,1,6.9
GK,Giorgi Mamardashvili,496,0,0,0,106,6.98
GK,James Trafford,14,0,0,0,5,7.0
LB,Konstantinos Tsimikas,30,0,0,0,1,6.16
LB,Milos Kerkez,473,51,22,29,117,6.67
LB,Ferdi Kadioglu,47,2,1,1,3,6.23
LB,Rayan Ait-Nouri,51,3,2,1,4,6.3
LB,Igor Andrade,20,1,1,0,3,6.32
CB,Andrew Balogun,33,2,1,1,5,6.59
CB,Frank de Vries,65,5,2,3,15,6.67
CB,Alessandro Bastoni,114,3,3,0,18,6.43
CB,Joe Gomez,104,2,1,1,13,6.38
CB,Daniel Meza,59,1,1,0,14,6.62
CB,Virgil van Dijk,57,2,2,0,12,6.48
CB,Jarell Quansah,20,0,0,0,3,6.17
CB,Nico Schlotterbeck,313,12,9,3,61,6.44
CB,Marc Guehi,238,8,2,6,40,6.47
CB,Mohamad Simakan,111,8,4,4,21,6.58
CB,Ibrahima Konate,207,5,4,1,49,6.43
RB,Trent Alexander-Arnold,506,83,23,60,112,6.69
RB,Conor Bradley,61,3,2,1,3,6.23
RB,Tino Livramento,19,1,1,0,1,6.28
RB,Tiago Santos,55,2,0,2,7,6.2
CM,David Bernard,66,17,9,8,15,6.84
CM,Ezequiel Banzuzi,9,0,0,0,3,6.56
CM,Tyler Morton,5,0,0,0,1,6.08
CM,Alexis Mac Allister,353,91,43,48,82,6.73
CM,Jude Bellingham,493,191,119,72,115,6.88
CM,Exequiel Palacios,54,3,2,1,3,6.22
CM,Nicolo Rovella,98,6,4,2,5,6.25
CM,Curtis Jones,72,6,1,5,10,6.37
CM,Ryan Gravenberch,63,14,6,8,12,6.61
CM,Jobe Bellingham,5,0,0,0,0,6.24
CAM,Cedomir Knezevic,8,2,2,0,2,6.64
CAM,Florian Wirtz,502,288,156,132,116,7.15
CAM,Dominik Szoboszlai,144,13,7,6,5,6.19
LW,Luis Diaz,372,224,170,54,93,7.46
LW,Khvicha Kvaraskhelia,122,65,38,27,22,7.37
LW,Cody Gakpo,28,6,6,0,6,6.81
LW,Mika Godts,6,1,1,0,2,6.77
LW,Noa Lang,15,0,0,0,0,6.25
RW,Mohamed Salah,189,124,83,41,51,7.4
RW,Federico Chiesa,24,4,4,0,2,6.48
RW,Francisco Conceicao,308,116,73,43,73,7.17
RW,Lee Kang In,25,1,1,0,5,6.45
ST,Santiago Gimenez,7,2,2,0,1,6.68
ST,Darwin Nunez,52,18,18,0,16,7.21
ST,Diogo Jota,36,4,3,1,3,6.51
ST,Victor Osimhen,442,300,277,23,99,7.57
ST,Fiete Mayer,7,2,2,0,4,6.87
